Common Name,Kingdom,Phylum,Class,Order,Family,Genus,Conservation Status
Whale,Animalia,Chordata,Mammalia,Artiodactyla,nan,nan,nan
White rhinoceros,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,"CeratotheriumGray, 1867",Near Threatened (IUCN 3.1)[2]
White-tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,Least Concern (IUCN 3.1)[1]
White-beaked dolphin,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,Lagenorhynchus,Least Concern (IUCN 3.1)[1]
Whitetip reef shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,"TriaenodonJ. P. Müller & Henle, 1837",Near Threatened (IUCN 3.1)[1]
Wildcat,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Least Concern (IUCN 3.1)[1]
Wildebeest,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,"ConnochaetesHinrich Lichtenstein, 1812",nan
Wobbegong,Animalia,Chordata,Chondrichthyes,Orectolobiformes,"OrectolobidaeT. N. Gill, 1896",nan,nan
Wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Least Concern (IUCN 3.1)[2]
Wolverine,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Gulo,Least Concern (IUCN 3.1)[2]
Wombat,Animalia,Chordata,Mammalia,Diprotodontia,"VombatidaeBurnett, 1830",nan,nan
Groundhog,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Least Concern (IUCN 3.1)[1]
Domestic yak,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Domesticated
Yellow-bellied marmot,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,Least Concern (IUCN 3.1)[1]
Zebra,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,nan
Zebu,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Domesticated
Striped polecat,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Ictonyx,Least Concern (IUCN 3.1)[2]
