Common Name,Kingdom,Phylum,Class,Order,Family,Genus,Conservation Status
Mink,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Neovison and Mustela,nan
Minke whale,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,nan
Mole,nan,nan,nan,nan,nan,nan,nan
Mole salamander,Animalia,Chordata,Amphibia,Urodela,Ambystomatidae,"AmbystomaTschudi, 1838",nan
Mollusca,Animalia,"MolluscaLinnaeus, 1758",nan,nan,nan,nan,nan
Mongoose,Animalia,Chordata,Mammalia,Carnivora,"HerpestidaeBonaparte, 1845",nan,nan
Monitor lizard,Animalia,Chordata,Reptilia,Squamata,Varanidae,"VaranusMerrem, 1820",nan
Monk seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,nan,nan
Monkey,Animalia,Chordata,Mammalia,Primates,nan,nan,nan
Moose,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,"AlcesGray, 1821",Least Concern (IUCN 3.1)[3]
Cougar,Animalia,Chordata,Mammalia,Carnivora,Felidae,Puma,Least Concern (IUCN 3.1)[1]
Mouse,nan,nan,nan,nan,nan,nan,nan
Mule,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Domesticated
Muskox,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,"OvibosBlainville, 1816[2]",Least Concern (IUCN 3.1)[1]
Muskrat,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,"OndatraLink, 1795",Least Concern (IUCN 3.1)[1]
Naked mole-rat,Animalia,Chordata,Mammalia,Rodentia,"HeterocephalidaeLandry, 1957; Patterson, 2014","HeterocephalusRüppell, 1842[3]",Least Concern (IUCN 3.1)[2]
Narwhal,Animalia,Chordata,Mammalia,Artiodactyla,Monodontidae,"MonodonLinnaeus, 1758",Least Concern (IUCN 3.1)[4]
Nautilus,Animalia,Mollusca,Cephalopoda,Nautilida,"NautilidaeBlainville, 1825",nan,nan
Newt,Animalia,Chordata,Amphibia,Urodela,Salamandridae,nan,nan
Right whale,Animalia,Chordata,Mammalia,Artiodactyla,Balaenidae,"EubalaenaGray, 1864",nan
Nurse shark,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Ginglymostomatidae,Ginglymostoma,Data Deficient (IUCN 3.1)[2]
Coypu,Animalia,Chordata,Mammalia,Rodentia,Echimyidae,"MyocastorKerr, 1792",Least Concern (IUCN 3.1)[1]
Nyala,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Least Concern (IUCN 3.1)[1]
Ocelot,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,Least Concern (IUCN 3.1)[1]
Octopus,Animalia,Mollusca,Cephalopoda,"OctopodaLeach, 1818[1]",nan,nan,nan
Okapi,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,"OkapiaLankester, 1901",Endangered (IUCN 3.1)[1]
Opossum,Animalia,Chordata,Mammalia,"DidelphimorphiaGill, 1872","DidelphidaeGray, 1821",nan,nan
Orangutan,Animalia,Chordata,Mammalia,Primates,Hominidae,"PongoLacépède, 1799",nan
Killer whale,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,"OrcinusFitzinger, 1860[5]",Data Deficient (IUCN 3.1)[3]
Otter,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,nan,nan
Ox,nan,nan,nan,nan,nan,nan,nan
Giant panda,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ailuropoda,Vulnerable (IUCN 3.1)[1]
Panther,nan,nan,nan,nan,nan,nan,nan
Pig,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,"SusLinnaeus, 1758",nan
Pilot whale,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,"GlobicephalaLesson, 1828",nan
European pine marten,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Least Concern (IUCN 3.1)[1]
Platypus,Animalia,Chordata,Mammalia,Monotremata,Ornithorhynchidae,"OrnithorhynchusBlumenbach, 1800",Near Threatened (IUCN 3.1)[2]
Polar bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Vulnerable (IUCN 3.1)[2]
Porcupine,Animalia,Chordata,Mammalia,Rodentia,nan,nan,nan
Porpoise,Animalia,Chordata,Mammalia,Artiodactyla,"PhocoenidaeGray, 1825",nan,nan
Possum,nan,nan,nan,nan,nan,nan,nan
Vietnamese Pot-bellied,nan,nan,nan,nan,nan,nan,Other names
Potto,Animalia,Chordata,Mammalia,Primates,Lorisidae,"PerodicticusBennett, 1831",Near Threatened (IUCN 3.1)[2]
Prairie dog,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,"CynomysRafinesque, 1817",nan
Proboscis monkey,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,"NasalisÉ. Geoffroy, 1812",Endangered (IUCN 3.1)[2]
Przewalski's horse,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Endangered (IUCN 3.1)[1]
Puma,nan,nan,nan,nan,nan,nan,nan
Pygmy hippopotamus,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hexaprotodon,Endangered (IUCN 3.1)[1]
Pygmy right whale,Animalia,Chordata,Mammalia,Artiodactyla,Cetotheriidae,"CapereaGray, 1864",Least Concern (IUCN 3.1)[3]
Pygmy sperm whale,Animalia,Chordata,Mammalia,Artiodactyla,Kogiidae,Kogia,Least Concern (IUCN 3.1)[2]
Quokka,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,"SetonixLesson, 1842[3]",Vulnerable (IUCN 3.1)[1]
Quoll,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,"DasyurusÉ. Geoffroy, 1796",nan
Rabbit,Animalia,Chordata,Mammalia,Lagomorpha,Leporidaein part,nan,nan
Raccoon,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,Least Concern (IUCN 3.1)[2]
Rat,Animalia,Chordata,Mammalia,Rodentia,nan,nan,nan
Ray,nan,nan,nan,nan,nan,nan,nan
Red fox,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Least Concern (IUCN 3.1)[1]
Red kangaroo,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Osphranter,Least Concern (IUCN 3.1)[2]
Red panda,Animalia,Chordata,Mammalia,Carnivora,Ailuridae,"AilurusF. Cuvier, 1825",Endangered (IUCN 3.1)[1]
Agalychnis callidryas,Animalia,Chordata,Amphibia,Anura,Phyllomedusidae,Agalychnis,Least Concern (IUCN 3.1)[1]
Reef shark,nan,nan,nan,nan,nan,nan,nan
Reindeer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,"RangiferCharles Hamilton Smith, 1827",Vulnerable (IUCN 3.1)[2]
Rhinoceros,Animalia,Chordata,Mammalia,Perissodactyla,"RhinocerotidaeOwen, 1845",nan,nan
Rhinoceros,Animalia,Chordata,Mammalia,Perissodactyla,"RhinocerotidaeOwen, 1845",nan,nan
Right whale,Animalia,Chordata,Mammalia,Artiodactyla,Balaenidae,"EubalaenaGray, 1864",nan
Ringed seal,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Pusa,Least Concern (IUCN 3.1)[1]
Risso's dolphin,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,"GrampusGray, 1828 [3]",Least Concern (IUCN 3.1)[2]
River dolphin,nan,nan,nan,nan,nan,nan,nan
Salamander,Animalia,Chordata,Amphibia,"UrodelaDuméril, 1806",nan,nan,nan
Sandbar shark,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Vulnerable (IUCN 3.1)[1]
Scalloped hammerhead,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Sphyrnidae,Sphyrna,Critically Endangered (IUCN 3.1)[1]
